Group00_Index,Channel_Name,Crate,Card,Channel,Vset,Enabled,Flagged,Groups,,,,,,
224,MRD_x0_y0_z2,1,4,0,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
225,MRD_x0_y1_z2,1,4,1,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
226,MRD_x0_y2_z2,1,4,2,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
227,MRD_x0_y3_z2,1,4,3,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
228,MRD_x0_y4_z2,1,4,4,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
229,MRD_x0_y5_z2,1,4,5,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
230,MRD_x0_y6_z2,1,4,6,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
231,MRD_x0_y7_z2,1,4,7,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
232,MRD_x0_y8_z2,1,4,8,-1900,1,0,GROUP00;ACTIVE;MRD;LeCroy1,large,sig,,,,
233,CH_1_4_9_BK,1,4,9,0,1,0,GROUP00;LeCroy1,,,,,,
234,MRD_x0_y10_z2,1,4,10,-1900,1,0,GROUP00;ACTIVE;MRD;LeCroy1,large,sig,,,,
235,MRD_x0_y11_z2,1,4,11,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
236,MRD_x0_y12_z2,1,4,12,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
237,MRD_x0_y13_z2,1,4,13,-1900,1,0,GROUP00;ACTIVE;MRD;LeCroy1,noisy,,,,,
238,MRD_x16_y0_z5,1,4,14,-2200,1,0,GROUP00;ACTIVE;MRD;LeCroy1,Tested,@,2200,,,
239,MRD_x16_y1_z5,1,4,15,-2000,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
240,MRD_x1_y0_z2,1,5,0,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
241,MRD_x1_y1_z2,1,5,1,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
242,MRD_x1_y2_z2,1,5,2,-1900,1,0,GROUP00;ACTIVE;MRD;LeCroy1,noisy,,,,,
243,MRD_x1_y3_z2,1,5,3,-1900,1,0,GROUP00;ACTIVE;MRD;LeCroy1,noisy,,,,,
244,MRD_x1_y4_z2,1,5,4,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
245,MRD_x1_y5_z2,1,5,5,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
246,MRD_x1_y6_z2,1,5,6,-1900,1,0,GROUP00;ACTIVE;MRD;LeCroy1,noisy,,,,,
247,MRD_x1_y7_z2,1,5,7,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
248,MRD_x1_y8_z2,1,5,8,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
249,MRD_x1_y9_z2,1,5,9,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
250,MRD_x1_y10_z2,1,5,10,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
251,MRD_x1_y11_z2,1,5,11,-2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
252,MRD_x1_y12_z2,1,5,12,-1900,1,0,GROUP00;ACTIVE;MRD;LeCroy1,after,pulsing,,,,
253,CH_1_5_13,1,5,13,0,1,0,GROUP00;LeCroy1,,,,,,
254,MRD_x15_y0_z5,1,5,14,-1500,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
255,CH_1_5_15,1,5,15,0,1,0,GROUP00;LeCroy1,,,,,,
256,MRD_x0_y0_z3,1,6,0,-2000,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
257,MRD_x1_y0_z3,1,6,1,-2000,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
258,MRD_x2_y0_z3,1,6,2,-2000,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
259,MRD_x3_y0_z3,1,6,3,-2000,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
260,MRD_x4_y0_z3,1,6,4,-2000,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
261,MRD_x5_y0_z3,1,6,5,-2000,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
262,MRD_x6_y0_z3,1,6,6,-2000,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
263,MRD_x7_y0_z3,1,6,7,-2000,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
264,MRD_x8_y0_z3,1,6,8,-2000,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
265,MRD_x9_y0_z3,1,6,9,-2000,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
266,MRD_x10_y0_z3,1,6,10,-2000,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
267,MRD_x11_y0_z3,1,6,11,-2000,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
268,MRD_x12_y0_z3,1,6,12,-2000,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
269,MRD_x13_y0_z3,1,6,13,-2000,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
270,MRD_x14_y0_z3,1,6,14,-1800,1,0,GROUP00;ACTIVE;MRD;LeCroy1,noisy,,,,,
271,CH_1_6_15,1,6,15,0,1,0,GROUP00;LeCroy1,,,,,,
272,MRD_x0_y1_z3,1,7,0,-2200,1,0,GROUP00;ACTIVE;MRD;LeCroy1,tested,@2200,,,,
273,MRD_x1_y1_z3,1,7,1,-2000,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
